backdoor,ddos,dos,injection,mitm,normal,password,ransomware,scanning,xss
NaN,0.6847347,0.0005362259,0.00042195036,0.00058805733,0.16895239,0.14364502,NaN,0.0009852251,0.00013644209
NaN,0.6849157,0.00053578534,0.00042137495,0.00058748847,0.16885906,0.1435588,NaN,0.0009852581,0.00013648858
NaN,0.68511665,0.00053530914,0.00042074878,0.00058686663,0.16875547,0.14346306,NaN,0.0009853151,0.00013653877
NaN,0.6853359,0.0005348027,0.00042007738,0.00058619736,0.16864254,0.14335854,NaN,0.0009853982,0.00013659248
NaN,0.6855721,0.0005342681,0.00041936385,0.00058548467,0.16852084,0.14324582,NaN,0.0009855089,0.00013664922
NaN,0.68582356,0.00053370994,0.00041861384,0.00058473443,0.16839157,0.14312547,NaN,0.0009856481,0.00013670912
NaN,0.6860884,0.00053313223,0.00041783263,0.0005839522,0.16825558,0.1429985,NaN,0.0009858162,0.00013677194
NaN,0.68636477,0.00053253863,0.000417024,0.0005831432,0.16811368,0.14286594,NaN,0.0009860126,0.00013683722
NaN,0.68665135,0.00053193216,0.00041619255,0.00058231223,0.16796656,0.14272846,NaN,0.0009862346,0.00013690493
NaN,0.68694603,0.00053131615,0.00041534242,0.00058146456,0.16781516,0.14258724,NaN,0.0009864802,0.00013697478
NaN,0.615681,0.0008235913,0.0007500286,0.0009202939,0.20693868,0.17357653,NaN,0.0011882946,0.00012154727
NaN,0.6257094,0.0008330465,0.0008793612,0.00093434524,0.19934879,0.17076986,NaN,0.0013709329,0.00015418402
NaN,0.66316205,0.0008187154,0.0012372241,0.00068950665,0.20504302,0.12652873,NaN,0.0022923215,0.00022839454
NaN,0.6778359,0.00085540337,0.0015034722,0.0007258858,0.19654964,0.11938534,NaN,0.0028454766,0.0002989383
NaN,0.70085293,0.0008249618,0.0017019701,0.0006533673,0.18929039,0.10231797,NaN,0.0039432794,0.000415104
NaN,0.657375,0.0011431756,0.0024986095,0.0009757365,0.20078987,0.13208164,NaN,0.0046997853,0.00043625192
NaN,0.6070436,0.001465056,0.00342395,0.0013302169,0.21738201,0.16293578,NaN,0.005960425,0.00045895265
NaN,0.5470225,0.0018811288,0.004677584,0.0017573489,0.23810144,0.19839288,NaN,0.007692878,0.00047427384
NaN,0.51659423,0.0021829368,0.0060601905,0.0014685843,0.2492439,0.21425255,NaN,0.009616959,0.0005806615
NaN,0.42053396,0.003200311,0.009147027,0.0013421294,0.22462259,0.32908866,NaN,0.011312919,0.0007523044
NaN,0.30187786,0.004657895,0.014155698,0.0011226842,0.18452993,0.47949073,NaN,0.013122561,0.0010426389
NaN,0.18766078,0.0063137556,0.020279666,0.0008265978,0.12960367,0.63991684,NaN,0.01394019,0.0014585343
NaN,0.10689464,0.0076887007,0.025242021,0.00055244885,0.07967637,0.7643986,NaN,0.013553396,0.0019938056
NaN,0.063314795,0.008327968,0.027170578,0.00036237744,0.04798806,0.8374305,NaN,0.012765599,0.0026401186
NaN,0.042518422,0.008042649,0.026162341,0.00024602385,0.031406723,0.8760114,NaN,0.012244959,0.0033673707
NaN,0.032398865,0.007063679,0.023522861,0.00017507182,0.023044992,0.89755595,NaN,0.012114202,0.0041243765
NaN,0.0269408,0.005830518,0.020434441,0.0001300878,0.018600583,0.91093695,NaN,0.012263987,0.0048626135
NaN,0.01317254,0.0038447191,0.012176916,0.00013618777,0.011834947,0.9506162,NaN,0.006622009,0.001596526
