fridge.datetime,fridge.fridge_temperature,fridge.temp_condition,garage_door.datetime,garage_door.door_state,garage_door.sphone_signal,gps_tracker.datetime,gps_tracker.latitude,gps_tracker.longitude,modbus.datetime,modbus.FC1_Read_Input_Register,modbus.FC2_Read_Discrete_Value,modbus.FC3_Read_Holding_Register,modbus.FC4_Read_Coil,motion_light.datetime,motion_light.motion_status,motion_light.light_status,thermostat.datetime,thermostat.current_temperature,thermostat.thermostat_status,weather.datetime,weather.temperature,weather.pressure,weather.humidity,fridge.is_off,garage_door.is_off,gps_tracker.is_off,modbus.is_off,motion_light.is_off,thermostat.is_off,weather.is_off
0.0,0.0,0.0,0.018225231288004157,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.1178122758010105,0.2610015869140625,0.0780782614004029,0.30259884936440357,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.1178122758010105,0.2610015869140625,0.0780782614004029,0.30259884936440357,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.5722703057501793,0.4799041748046875,0.4970239912093279,0.12013001877031544,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.5722703057501793,0.4799041748046875,0.4970239912093279,0.12013001877031544,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.5722703057501793,0.4799041748046875,0.4970239912093279,0.12013001877031544,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.32773122071102556,0.0137481689453125,0.19257066113179902,0.798303041401517,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.32773122071102556,0.0137481689453125,0.19257066113179902,0.798303041401517,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.5722703057501793,0.4799041748046875,0.4970239912093279,0.12013001877031544,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.32773122071102556,0.0137481689453125,0.19257066113179902,0.798303041401517,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.48491093098868887,0.457275390625,0.8075666931200781,0.790047154694868,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.48491093098868887,0.457275390625,0.8075666931200781,0.790047154694868,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.48491093098868887,0.457275390625,0.8075666931200781,0.790047154694868,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.48491093098868887,0.457275390625,0.8075666931200781,0.790047154694868,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613976965517519,0.006271820984499812,0.018524694318201182,0.5683015066172094,0.49615478515625,0.37569440205115684,0.7462039707610372,0.0,0.0,0.0,0.0,0.16642165663906505,0.5,0.0,0.0213448179699276,0.048353147691146015,0.026304469574074816,1.0,1.0,1.0,0.0,1.0,1.0,1.0
