disk.RDDSK,disk.WRDSK,disk.WCANCL,disk.DSK,memory.MINFLT,memory.MAJFLT,memory.VSTEXT,memory.VSIZE,memory.RSIZE,memory.VGROW,memory.RGROW,memory.MEM,process.TRUN,process.TSLPI,process.TSLPU,process.POLI,process.NICE,process.PRI,process.RTPR,process.CPUNR,process.Status,process.EXC,process.State,process.CPU,PID,CMD
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11194.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11198.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11202.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11206.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11210.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11214.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11218.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11222.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11229.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11233.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11237.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11242.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11246.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11250.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11254.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11258.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11262.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11266.0,6
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11270.0,6
